,commentor,comment
100,Kaynat Naqvi,Sir aap offline bhi pdhate  hain?
101,Pavan Prajapati,C ki aage ki video  kab aaegi
102,jivan,Yes 
103,Shivansh Sharma,Hello sir i am here from rohit negi channel
104,RAMAN KHETI,53:20 never sir
105,Gaurav Sonawane,"""Javab Dena Hey"""
106,ankit raj,where the project have to be submitted ..asking for next project ..and what is next project ..please reply to my query
107,saurabh mishra,can u please share the GitHub link sir?
108,Vaibhav Pal,"Mind Blowing. Amazing Lecture, huge respect sir."
109,kajal soni,Amazing leacture. Well explained
110,Ashwani Kumar,Amazing introduction to oops thank you so much sir.
111,Nikhil Goswami,Sir like the way you teach if some one ask me who has best teaching techniques i will tell your name ️(i just purchased ur bootcamp cource)
112,sayan banerjee,"Sir I wanted to take ""TECH NEURON"" only for you. I know tomorrow is the last day but I want to know what classes you will take in future? Sir please reply soon as tomorrow is last date. Lots of love and respect for you..."
113,Archana Das,Can we encrypt any data by encapsulation? Sir please say 
114,Chiranjeevi Vaston,"Namaste  sir
Nice video sir . Plzz also upload the pdf of the these tutorial "
115,Suraj Kumar,2hr ka lecture ho gaya mujhe laga ki av sirf 20/30 minutes huye hai. ️ Mazza aaya 
116,Chandan Sharma,Thank you sir 
117,Hasan raja, thanks so much sir.i m waiting for your video  c++ ..
118,Praveen venkat,Hats off to u sir
119,hosting vosting,You are God of programming
120,Pankaj Dhar Dubey,Waiting for next videos in the playlist
121,Pankajsingh Patwal,Thank you sir ji ️️
122,Kamal Roy,Sir aap se advice leni he meri situation ke hisaab see .. me b. Tech Electronics amd communication 2019 passout hu(tier 3) fir 1 year khaali rehne ke baad me M. Tech kiya hu digital communications me (private tier 3 college) abb 2020-2022 oct me khatm hone waala he semester.. muje kya karna chahiye taaki me product company crack kar saku(no prior knowledge of IT) confused hu aap ke videos dekne ke baad i felt you can only give me right guidance at this point sirg 
123,Neelesh Gupta,thank you sir
124,Alok,"Sir, iska agla video kab aayega? I am waiting kab se "
125,Manish Raj,Sir i want to join job ready bootcamp c/c++ dsa and iot... can i join it now...and recorded lecture will be available for lifetime access or not?
126,Kapil Sharma,Thanks sir
127,jivan,Sir C++ community class Bhi start Karo.
128,NITISH KUMAR,sir pdf ka link de dijiye
129,Yt Shorts,Why parent class constructors are executed first and then child?
130,Max,"Sir me aapke ineuron ke Python batch me hu
Aap bahot accha sikha rahe ho"
131,prashant,live class kitna baje se hota hai aur kab kab hota hai
132,S b,sir radix sort pr video upload krdo please
133,FACT WORLD,Sir course  mai Kab tak enroll  ho sakte hai
134,shantanu mali fan of arijit singh sir,Babot aache teacher ho aap sir
135,ShiVaM__Shorts,️️
136,Suraj Kumar,Nxt video kab aayega sir
137,Indrajeet A3,Sir community class kab sa start hoga
138,21UEI016 Ankit Kumar,Sir plz YouTube pe bhi c++ ka nya free course la digiye  sir main paid course nhi le paya hu plz sir hme bhut help ho jaiyega 
139,Sanket Narsale,Sir c++ kabtak complete hoga
140,53 Govinda Raut,Sir java ka he kya bootcamp
